n,density,symmetric,norm,method,solver,est,ref,rel_err,sec,ok,error,finite_err,finite_sec,comparable
313,0.05,False,1,oettli-prager,lu,34869.61407466071,15683.224779013557,1.2233701656384688,0.1029308969154954,True,,True,True,True
313,0.05,False,1,oettli-prager,lsmr,447.97356036339306,15683.224779013557,0.9714361321299911,1.017209188081324,True,,True,True,True
313,0.05,False,1,oettli-prager,cg,2.772046838870925e+16,15683.224779013557,1767523502295.752,0.5282410020008683,True,,True,True,True
313,0.05,False,1,oettli-prager,gmres,44.21595302594034,15683.224779013557,0.9971806848623946,0.4368451088666916,True,,True,True,True
313,0.05,False,1,oettli-prager,direct,34869.61407465782,15683.224779013557,1.2233701656382843,0.3071678141131997,True,,True,True,True
313,0.05,False,1,monte-carlo,auto,29992.158632062714,15683.224779013557,0.9123719167882232,7.241348244715482,True,,True,True,True
313,0.05,False,1,monte-carlo,lu,8624.12204944386,15683.224779013557,0.4501053086362574,7.2333589512854815,True,,True,True,True
313,0.05,False,1,monte-carlo,lsmr,8927.704323367303,15683.224779013557,0.4307481752532251,7.247698795981705,True,,True,True,True
313,0.05,False,1,monte-carlo,cg,19741.560033551723,15683.224779013557,0.25876918246869807,7.253089748322964,True,,True,True,True
313,0.05,False,1,monte-carlo,gmres,15371.332132519019,15683.224779013557,0.019887022655691058,7.230633973143995,True,,True,True,True
313,0.05,False,1,monte-carlo,direct,25242.166384378306,15683.224779013557,0.6095010267375628,7.220267362892628,True,,True,True,True
313,0.05,False,2,power,,9.273866135707488,796.4016324898556,0.9883552898972421,2.7827505036257207,True,,True,True,True
313,0.05,False,2,lanczos,,147.91026649170306,796.4016324898556,0.8142767914359001,0.06104782084003091,True,,True,True,True
313,0.05,False,2,lanczos_unsym,,108.34221307661242,796.4016324898556,0.8639603327558567,0.08898402005434036,True,,True,True,True
313,0.05,False,2,golub-kahan,,186.68107141424176,796.4016324898556,0.7655943134739623,0.3714096969924867,True,,True,True,True
313,0.05,False,2,svds,,145.42913180385793,796.4016324898556,0.8173922228798164,0.08379824366420507,True,,True,True,True
313,0.05,False,2,eigsh,,107.94293512191203,796.4016324898556,0.8644616852624458,0.08692256873473525,True,,True,True,True
313,0.05,False,2,lobpcg,,1.0363929055492562,796.4016324898556,0.9986986554732326,0.17394710890948772,True,,True,True,True
408,0.05,False,1,hager,auto,4256.587232549258,41147.064162236034,0.8965518605223876,0.10833311174064875,True,,True,True,True
408,0.05,False,1,hager,lu,4256.587232549258,41147.064162236034,0.8965518605223876,0.10095996502786875,True,,True,True,True
408,0.05,False,1,hager,lsmr,678.7303520374759,41147.064162236034,0.9835047684237846,0.19697724282741547,True,,True,True,True
408,0.05,False,1,hager,cg,0.0,41147.064162236034,1.0,0.1751615139655769,True,,True,True,True
408,0.05,False,1,hager,gmres,28.010790112878574,41147.064162236034,0.9993192517939449,2.445240980014205,True,,True,True,True
408,0.05,False,1,hager,direct,4256.587232549312,41147.064162236034,0.8965518605223863,0.13780968682840466,True,,True,True,True
408,0.05,False,1,hager-higham,auto,4256.587232549258,41147.064162236034,0.8965518605223876,0.10911797406151891,True,,True,True,True
408,0.05,False,1,hager-higham,lu,4256.587232549258,41147.064162236034,0.8965518605223876,0.10593969188630581,True,,True,True,True
408,0.05,False,1,hager-higham,lsmr,19.027034616390434,41147.064162236034,0.9995375846368681,0.19999279268085957,True,,True,True,True
408,0.05,False,1,hager-higham,cg,,41147.064162236034,,5.700934526976198,True,,False,True,False
408,0.05,False,1,hager-higham,gmres,47.46263464185833,41147.064162236034,0.9988465122455706,0.2537420289590955,True,,True,True,True
408,0.05,False,1,hager-higham,direct,4256.587232549312,41147.064162236034,0.8965518605223863,0.20619471604004502,True,,True,True,True
408,0.05,False,1,power,auto,181.3113228344039,41147.064162236034,0.9955935781440075,0.10625712806358933,True,,True,True,True
408,0.05,False,1,power,lu,181.31142183278828,41147.064162236034,0.9955935757380427,0.10293550090864301,True,,True,True,True
408,0.05,False,1,power,lsmr,23.069966810359468,41147.064162236034,0.9994393289708495,2.725567819084972,True,,True,True,True
408,0.05,False,1,power,cg,,41147.064162236034,,1.2705541416071355,True,,False,True,False
408,0.05,False,1,power,gmres,7.325605219273069,41147.064162236034,0.999821965300115,0.8875956949777901,True,,True,True,True
408,0.05,False,1,power,direct,181.31142556449834,41147.064162236034,0.9955935756473507,0.3409209228120744,True,,True,True,True
408,0.05,False,1,oettli-prager,auto,4256.587232549258,41147.064162236034,0.8965518605223876,0.1402878831140697,True,,True,True,True
408,0.05,False,1,oettli-prager,lu,4256.587232549258,41147.064162236034,0.8965518605223876,0.13600602094084024,True,,True,True,True
408,0.05,False,1,oettli-prager,lsmr,583.1808301581176,41147.064162236034,0.9858269151874668,1.3485529366880655,True,,True,True,True
408,0.05,False,1,oettli-prager,cg,1.85901521106023e+20,41147.064162236034,4517977768062483.0,0.6139282346703112,True,,True,True,True
408,0.05,False,1,oettli-prager,gmres,43.38618886425664,41147.064162236034,0.998945582394574,0.4970481498166919,True,,True,True,True
408,0.05,False,1,oettli-prager,direct,4256.587232549312,41147.064162236034,0.8965518605223863,0.5796654289588332,True,,True,True,True
